,location,sourceelementkey,latitude,longitude
0,"{'type': 'Point', 'coordinates': [-122.33469356, 47.6028728]}",1001,47.6028728,-122.33469356
1,"{'type': 'Point', 'coordinates': [-122.33451266, 47.60294861]}",1002,47.60294861,-122.33451266
2,"{'type': 'Point', 'coordinates': [-122.33514326, 47.60367439]}",1006,47.60367439,-122.33514326
3,"{'type': 'Point', 'coordinates': [-122.3366575, 47.60501765]}",1009,47.60501765,-122.3366575
4,"{'type': 'Point', 'coordinates': [-122.33644748, 47.6051007]}",1010,47.6051007,-122.33644748
5,"{'type': 'Point', 'coordinates': [-122.33798252, 47.60642352]}",1013,47.60642352,-122.33798252
6,"{'type': 'Point', 'coordinates': [-122.33778421, 47.60651938]}",1014,47.60651938,-122.33778421
7,"{'type': 'Point', 'coordinates': [-122.34203467, 47.61063188]}",1017,47.61063188,-122.34203467
8,"{'type': 'Point', 'coordinates': [-122.34188878, 47.61073498]}",1018,47.61073498,-122.34188878
9,"{'type': 'Point', 'coordinates': [-122.34466292, 47.61217553]}",1021,47.61217553,-122.34466292
10,"{'type': 'Point', 'coordinates': [-122.34451388, 47.61229498]}",1022,47.61229498,-122.34451388
11,"{'type': 'Point', 'coordinates': [-122.34838555, 47.61437332]}",1025,47.61437332,-122.34838555
12,"{'type': 'Point', 'coordinates': [-122.34823341, 47.61449094]}",1026,47.61449094,-122.34823341
13,"{'type': 'Point', 'coordinates': [-122.35213217, 47.61658464]}",1029,47.61658464,-122.35213217
14,"{'type': 'Point', 'coordinates': [-122.35196383, 47.61671091]}",1030,47.61671091,-122.35196383
15,"{'type': 'Point', 'coordinates': [-122.35327798, 47.61726786]}",1033,47.61726786,-122.35327798
16,"{'type': 'Point', 'coordinates': [-122.3531291, 47.61738742]}",1034,47.61738742,-122.3531291
17,"{'type': 'Point', 'coordinates': [-122.35551415, 47.62151977]}",1037,47.62151977,-122.35551415
18,"{'type': 'Point', 'coordinates': [-122.35550455, 47.62268904]}",1041,47.62268904,-122.35550455
19,"{'type': 'Point', 'coordinates': [-122.35549857, 47.62391565]}",1045,47.62391565,-122.35549857
20,"{'type': 'Point', 'coordinates': [-122.35531611, 47.62391223]}",1046,47.62391223,-122.35531611
21,"{'type': 'Point', 'coordinates': [-122.33428548, 47.60129336]}",1213,47.60129336,-122.33428548
22,"{'type': 'Point', 'coordinates': [-122.3340747, 47.60129576]}",1214,47.60129576,-122.3340747
23,"{'type': 'Point', 'coordinates': [-122.33428859, 47.60047073]}",1217,47.60047073,-122.33428859
24,"{'type': 'Point', 'coordinates': [-122.33407785, 47.60046351]}",1218,47.60046351,-122.33407785
25,"{'type': 'Point', 'coordinates': [-122.33405747, 47.59609416]}",1222,47.59609416,-122.33405747
26,"{'type': 'Point', 'coordinates': [-122.31945954, 47.61196395]}",1229,47.61196395,-122.31945954
27,"{'type': 'Point', 'coordinates': [-122.31955777, 47.61468219]}",1233,47.61468219,-122.31955777
28,"{'type': 'Point', 'coordinates': [-122.31934691, 47.614681]}",1234,47.614681,-122.31934691
29,"{'type': 'Point', 'coordinates': [-122.35811282, 47.62153011]}",1277,47.62153011,-122.35811282
30,"{'type': 'Point', 'coordinates': [-122.35796715, 47.6214913]}",1278,47.6214913,-122.35796715
31,"{'type': 'Point', 'coordinates': [-122.35809341, 47.62515306]}",1281,47.62515306,-122.35809341
32,"{'type': 'Point', 'coordinates': [-122.31642786, 47.66400789]}",1433,47.66400789,-122.31642786
33,"{'type': 'Point', 'coordinates': [-122.31688507, 47.6098122]}",1577,47.6098122,-122.31688507
34,"{'type': 'Point', 'coordinates': [-122.31667425, 47.60982856]}",1578,47.60982856,-122.31667425
35,"{'type': 'Point', 'coordinates': [-122.31696537, 47.61587879]}",1589,47.61587879,-122.31696537
36,"{'type': 'Point', 'coordinates': [-122.31676244, 47.61586659]}",1590,47.61586659,-122.31676244
37,"{'type': 'Point', 'coordinates': [-122.31554617, 47.66058075]}",1601,47.66058075,-122.31554617
38,"{'type': 'Point', 'coordinates': [-122.31536787, 47.6605704]}",1602,47.6605704,-122.31536787
39,"{'type': 'Point', 'coordinates': [-122.31575129, 47.67537128]}",1617,47.67537128,-122.31575129
40,"{'type': 'Point', 'coordinates': [-122.31556457, 47.67536857]}",1618,47.67536857,-122.31556457
41,"{'type': 'Point', 'coordinates': [-122.31559256, 47.6147267]}",1821,47.6147267,-122.31559256
42,"{'type': 'Point', 'coordinates': [-122.31269957, 47.61494753]}",2054,47.61494753,-122.31269957
43,"{'type': 'Point', 'coordinates': [-122.31210101, 47.65902135]}",2085,47.65902135,-122.31210101
44,"{'type': 'Point', 'coordinates': [-122.31203276, 47.66398607]}",2089,47.66398607,-122.31203276
45,"{'type': 'Point', 'coordinates': [-122.31187465, 47.66397536]}",2090,47.66397536,-122.31187465
46,"{'type': 'Point', 'coordinates': [-122.3484389, 47.61558515]}",2781,47.61558515,-122.3484389
47,"{'type': 'Point', 'coordinates': [-122.34830052, 47.61569634]}",2782,47.61569634,-122.34830052
48,"{'type': 'Point', 'coordinates': [-122.35027481, 47.61666366]}",2785,47.61666366,-122.35027481
49,"{'type': 'Point', 'coordinates': [-122.35013825, 47.61679414]}",2786,47.61679414,-122.35013825
50,"{'type': 'Point', 'coordinates': [-122.35232441, 47.61785729]}",2789,47.61785729,-122.35232441
51,"{'type': 'Point', 'coordinates': [-122.35215625, 47.61798731]}",2790,47.61798731,-122.35215625
52,"{'type': 'Point', 'coordinates': [-122.35293883, 47.62036489]}",2793,47.62036489,-122.35293883
53,"{'type': 'Point', 'coordinates': [-122.3529021, 47.62500671]}",2797,47.62500671,-122.3529021
54,"{'type': 'Point', 'coordinates': [-122.35266686, 47.62501129]}",2798,47.62501129,-122.35266686
55,"{'type': 'Point', 'coordinates': [-122.33169823, 47.60045072]}",2921,47.60045072,-122.33169823
56,"{'type': 'Point', 'coordinates': [-122.33143883, 47.60044775]}",2922,47.60044775,-122.33143883
57,"{'type': 'Point', 'coordinates': [-122.33170118, 47.59962395]}",2925,47.59962395,-122.33170118
58,"{'type': 'Point', 'coordinates': [-122.33144581, 47.59962608]}",2926,47.59962608,-122.33144581
59,"{'type': 'Point', 'coordinates': [-122.32990794, 47.59960565]}",2986,47.59960565,-122.32990794
60,"{'type': 'Point', 'coordinates': [-122.38222168, 47.66906278]}",3081,47.66906278,-122.38222168
61,"{'type': 'Point', 'coordinates': [-122.38203494, 47.66907198]}",3082,47.66907198,-122.38203494
62,"{'type': 'Point', 'coordinates': [-122.38482847, 47.66717275]}",3337,47.66717275,-122.38482847
63,"{'type': 'Point', 'coordinates': [-122.38465823, 47.66711637]}",3338,47.66711637,-122.38465823
64,"{'type': 'Point', 'coordinates': [-122.38484953, 47.66908694]}",3341,47.66908694,-122.38484953
65,"{'type': 'Point', 'coordinates': [-122.38463849, 47.66908384]}",3342,47.66908384,-122.38463849
66,"{'type': 'Point', 'coordinates': [-122.34756286, 47.61625081]}",4437,47.61625081,-122.34756286
67,"{'type': 'Point', 'coordinates': [-122.34742027, 47.61636316]}",4438,47.61636316,-122.34742027
68,"{'type': 'Point', 'coordinates': [-122.35037128, 47.61790727]}",4441,47.61790727,-122.35037128
69,"{'type': 'Point', 'coordinates': [-122.35022717, 47.61801873]}",4442,47.61801873,-122.35022717
70,"{'type': 'Point', 'coordinates': [-122.28608789, 47.55743593]}",5802,47.55743593,-122.28608789
71,"{'type': 'Point', 'coordinates': [-122.32908971, 47.60205815]}",6166,47.60205815,-122.32908971
72,"{'type': 'Point', 'coordinates': [-122.3476597, 47.61746189]}",6197,47.61746189,-122.3476597
73,"{'type': 'Point', 'coordinates': [-122.34746383, 47.61757189]}",6198,47.61757189,-122.34746383
74,"{'type': 'Point', 'coordinates': [-122.3307428, 47.60551815]}",7246,47.60551815,-122.3307428
75,"{'type': 'Point', 'coordinates': [-122.33137792, 47.60621283]}",7250,47.60621283,-122.33137792
76,"{'type': 'Point', 'coordinates': [-122.33988424, 47.61405613]}",7257,47.61405613,-122.33988424
77,"{'type': 'Point', 'coordinates': [-122.33974319, 47.61416938]}",7258,47.61416938,-122.33974319
78,"{'type': 'Point', 'coordinates': [-122.34119978, 47.61481567]}",7261,47.61481567,-122.34119978
79,"{'type': 'Point', 'coordinates': [-122.34104117, 47.61494039]}",7262,47.61494039,-122.34104117
80,"{'type': 'Point', 'coordinates': [-122.34704539, 47.61827711]}",7265,47.61827711,-122.34704539
81,"{'type': 'Point', 'coordinates': [-122.32777643, 47.59669256]}",7397,47.59669256,-122.32777643
82,"{'type': 'Point', 'coordinates': [-122.32758192, 47.59670172]}",7398,47.59670172,-122.32758192
83,"{'type': 'Point', 'coordinates': [-122.33317222, 47.60961883]}",7989,47.60961883,-122.33317222
84,"{'type': 'Point', 'coordinates': [-122.33302531, 47.60968746]}",7990,47.60968746,-122.33302531
85,"{'type': 'Point', 'coordinates': [-122.33798426, 47.61409047]}",7997,47.61409047,-122.33798426
86,"{'type': 'Point', 'coordinates': [-122.33800086, 47.61430793]}",7998,47.61430793,-122.33800086
87,"{'type': 'Point', 'coordinates': [-122.33904518, 47.61470705]}",8001,47.61470705,-122.33904518
88,"{'type': 'Point', 'coordinates': [-122.3388561, 47.61482832]}",8002,47.61482832,-122.3388561
89,"{'type': 'Point', 'coordinates': [-122.34032614, 47.6154538]}",8005,47.6154538,-122.34032614
90,"{'type': 'Point', 'coordinates': [-122.32645202, 47.59961395]}",8097,47.59961395,-122.32645202
91,"{'type': 'Point', 'coordinates': [-122.32626558, 47.59961086]}",8098,47.59961086,-122.32626558
92,"{'type': 'Point', 'coordinates': [-122.32645712, 47.59628699]}",8101,47.59628699,-122.32645712
93,"{'type': 'Point', 'coordinates': [-122.32628696, 47.59627028]}",8102,47.59627028,-122.32628696
94,"{'type': 'Point', 'coordinates': [-122.32786582, 47.60573702]}",8242,47.60573702,-122.32786582
95,"{'type': 'Point', 'coordinates': [-122.33687047, 47.6146276]}",8249,47.6146276,-122.33687047
96,"{'type': 'Point', 'coordinates': [-122.32386073, 47.59790731]}",8301,47.59790731,-122.32386073
97,"{'type': 'Point', 'coordinates': [-122.32365809, 47.59790424]}",8302,47.59790424,-122.32365809
98,"{'type': 'Point', 'coordinates': [-122.32388013, 47.5970904]}",8305,47.5970904,-122.32388013
99,"{'type': 'Point', 'coordinates': [-122.32363696, 47.59708721]}",8306,47.59708721,-122.32363696
100,"{'type': 'Point', 'coordinates': [-122.32627615, 47.60543069]}",8369,47.60543069,-122.32627615
101,"{'type': 'Point', 'coordinates': [-122.32612102, 47.60549559]}",8370,47.60549559,-122.32612102
102,"{'type': 'Point', 'coordinates': [-122.32690423, 47.60613272]}",8373,47.60613272,-122.32690423
103,"{'type': 'Point', 'coordinates': [-122.3267698, 47.60618899]}",8374,47.60618899,-122.3267698
104,"{'type': 'Point', 'coordinates': [-122.32755118, 47.60684502]}",8377,47.60684502,-122.32755118
105,"{'type': 'Point', 'coordinates': [-122.32742018, 47.60689983]}",8378,47.60689983,-122.32742018
106,"{'type': 'Point', 'coordinates': [-122.32806872, 47.60759861]}",8382,47.60759861,-122.32806872
107,"{'type': 'Point', 'coordinates': [-122.33478081, 47.61448278]}",8389,47.61448278,-122.33478081
108,"{'type': 'Point', 'coordinates': [-122.33976022, 47.61770236]}",8394,47.61770236,-122.33976022
109,"{'type': 'Point', 'coordinates': [-122.34102708, 47.61824767]}",8397,47.61824767,-122.34102708
110,"{'type': 'Point', 'coordinates': [-122.34078339, 47.61830749]}",8398,47.61830749,-122.34078339
111,"{'type': 'Point', 'coordinates': [-122.34116298, 47.6239067]}",8401,47.6239067,-122.34116298
112,"{'type': 'Point', 'coordinates': [-122.34093993, 47.62390853]}",8402,47.62390853,-122.34093993
113,"{'type': 'Point', 'coordinates': [-122.34114567, 47.6266943]}",8405,47.6266943,-122.34114567
114,"{'type': 'Point', 'coordinates': [-122.34090264, 47.62666319]}",8406,47.62666319,-122.34090264
115,"{'type': 'Point', 'coordinates': [-122.32254732, 47.59792287]}",8541,47.59792287,-122.32254732
116,"{'type': 'Point', 'coordinates': [-122.32235274, 47.59792935]}",8542,47.59792935,-122.32235274
117,"{'type': 'Point', 'coordinates': [-122.32449968, 47.60515148]}",8601,47.60515148,-122.32449968
118,"{'type': 'Point', 'coordinates': [-122.32579968, 47.60658808]}",8609,47.60658808,-122.32579968
119,"{'type': 'Point', 'coordinates': [-122.32565947, 47.60666928]}",8610,47.60666928,-122.32565947
120,"{'type': 'Point', 'coordinates': [-122.3337482, 47.61529696]}",8614,47.61529696,-122.3337482
121,"{'type': 'Point', 'coordinates': [-122.33514821, 47.61596122]}",8617,47.61596122,-122.33514821
122,"{'type': 'Point', 'coordinates': [-122.33503151, 47.61604516]}",8618,47.61604516,-122.33503151
123,"{'type': 'Point', 'coordinates': [-122.33879349, 47.61827352]}",8622,47.61827352,-122.33879349
124,"{'type': 'Point', 'coordinates': [-122.33958113, 47.62609289]}",8626,47.62609289,-122.33958113
125,"{'type': 'Point', 'coordinates': [-122.33885551, 47.60409058]}",8829,47.60409058,-122.33885551
126,"{'type': 'Point', 'coordinates': [-122.3386791, 47.60416352]}",8830,47.60416352,-122.3386791
127,"{'type': 'Point', 'coordinates': [-122.35168194, 47.61296761]}",8837,47.61296761,-122.35168194
128,"{'type': 'Point', 'coordinates': [-122.35452821, 47.61461633]}",8841,47.61461633,-122.35452821
129,"{'type': 'Point', 'coordinates': [-122.33857545, 47.60423742]}",8853,47.60423742,-122.33857545
130,"{'type': 'Point', 'coordinates': [-122.3383856, 47.60431112]}",8854,47.60431112,-122.3383856
131,"{'type': 'Point', 'coordinates': [-122.33922088, 47.60495027]}",8857,47.60495027,-122.33922088
132,"{'type': 'Point', 'coordinates': [-122.33902921, 47.60503183]}",8858,47.60503183,-122.33902921
133,"{'type': 'Point', 'coordinates': [-122.33985854, 47.60566939]}",8861,47.60566939,-122.33985854
134,"{'type': 'Point', 'coordinates': [-122.33589585, 47.60127516]}",8869,47.60127516,-122.33589585
135,"{'type': 'Point', 'coordinates': [-122.3813686, 47.66473624]}",9109,47.66473624,-122.3813686
136,"{'type': 'Point', 'coordinates': [-122.38119769, 47.6648245]}",9110,47.6648245,-122.38119769
137,"{'type': 'Point', 'coordinates': [-122.3818266, 47.66535912]}",9114,47.66535912,-122.3818266
138,"{'type': 'Point', 'coordinates': [-122.37968866, 47.6680045]}",9141,47.6680045,-122.37968866
139,"{'type': 'Point', 'coordinates': [-122.37960314, 47.66814317]}",9142,47.66814317,-122.37960314
140,"{'type': 'Point', 'coordinates': [-122.34915928, 47.61320772]}",9145,47.61320772,-122.34915928
141,"{'type': 'Point', 'coordinates': [-122.34900092, 47.61311777]}",9146,47.61311777,-122.34900092
142,"{'type': 'Point', 'coordinates': [-122.34489933, 47.61652205]}",9149,47.61652205,-122.34489933
143,"{'type': 'Point', 'coordinates': [-122.34471355, 47.61641582]}",9150,47.61641582,-122.34471355
144,"{'type': 'Point', 'coordinates': [-122.35565852, 47.61818599]}",9157,47.61818599,-122.35565852
145,"{'type': 'Point', 'coordinates': [-122.35548849, 47.61806756]}",9158,47.61806756,-122.35548849
146,"{'type': 'Point', 'coordinates': [-122.3469578, 47.61313523]}",9277,47.61313523,-122.3469578
147,"{'type': 'Point', 'coordinates': [-122.34684189, 47.61302495]}",9278,47.61302495,-122.34684189
148,"{'type': 'Point', 'coordinates': [-122.34633431, 47.61183419]}",9349,47.61183419,-122.34633431
149,"{'type': 'Point', 'coordinates': [-122.34481681, 47.61300041]}",9353,47.61300041,-122.34481681
150,"{'type': 'Point', 'coordinates': [-122.3446913, 47.61292255]}",9354,47.61292255,-122.3446913
151,"{'type': 'Point', 'coordinates': [-122.34310029, 47.61434424]}",9357,47.61434424,-122.34310029
152,"{'type': 'Point', 'coordinates': [-122.34294906, 47.61425294]}",9358,47.61425294,-122.34294906
153,"{'type': 'Point', 'coordinates': [-122.33595379, 47.62142469]}",9393,47.62142469,-122.33595379
154,"{'type': 'Point', 'coordinates': [-122.33575104, 47.62142529]}",9394,47.62142529,-122.33575104
155,"{'type': 'Point', 'coordinates': [-122.32224767, 47.61107432]}",9421,47.61107432,-122.32224767
156,"{'type': 'Point', 'coordinates': [-122.32210446, 47.61113665]}",9422,47.61113665,-122.32210446
157,"{'type': 'Point', 'coordinates': [-122.32092724, 47.61694964]}",9461,47.61694964,-122.32092724
158,"{'type': 'Point', 'coordinates': [-122.32072453, 47.61695112]}",9462,47.61695112,-122.32072453
159,"{'type': 'Point', 'coordinates': [-122.32096913, 47.61932425]}",9469,47.61932425,-122.32096913
160,"{'type': 'Point', 'coordinates': [-122.32075419, 47.61932307]}",9470,47.61932307,-122.32075419
