,blockfacename,location,paidparkingarea,paidparkingsubarea,parkingcategory,parkingspacecount,parkingtimelimitcategory,sideofstreet,sourceelementkey,latitude,longitude
0,1ST AVE BETWEEN CHERRY ST AND COLUMBIA ST,"{'type': 'Point', 'coordinates': [-122.33469356, 47.6028728]}",Pioneer Square,Core,Paid Parking,4,120.0,SW,1001,47.6028728,-122.33469356
1,1ST AVE BETWEEN CHERRY ST AND COLUMBIA ST,"{'type': 'Point', 'coordinates': [-122.33451266, 47.60294861]}",Pioneer Square,Core,Paid Parking,8,120.0,NE,1002,47.60294861,-122.33451266
2,1ST AVE BETWEEN COLUMBIA ST AND MARION ST,"{'type': 'Point', 'coordinates': [-122.33514326, 47.60367439]}",Commercial Core,Waterfront,Paid Parking,7,120.0,NE,1006,47.60367439,-122.33514326
3,1ST AVE BETWEEN MADISON ST AND SPRING ST,"{'type': 'Point', 'coordinates': [-122.3366575, 47.60501765]}",Commercial Core,Waterfront,Paid Parking,5,30.0,SW,1009,47.60501765,-122.3366575
4,1ST AVE BETWEEN MADISON ST AND SPRING ST,"{'type': 'Point', 'coordinates': [-122.33644748, 47.6051007]}",Commercial Core,Waterfront,Paid Parking,5,120.0,NE,1010,47.6051007,-122.33644748
5,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,"{'type': 'Point', 'coordinates': [-122.33798252, 47.60642352]}",Commercial Core,Retail,Paid Parking,4,30.0,SW,1013,47.60642352,-122.33798252
6,1ST AVE BETWEEN SENECA ST AND UNIVERSITY ST,"{'type': 'Point', 'coordinates': [-122.33778421, 47.60651938]}",Commercial Core,Retail,Paid Parking,9,120.0,NE,1014,47.60651938,-122.33778421
7,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,"{'type': 'Point', 'coordinates': [-122.34203467, 47.61063188]}",Belltown,South,Paid Parking,9,120.0,SW,1017,47.61063188,-122.34203467
8,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,"{'type': 'Point', 'coordinates': [-122.34188878, 47.61073498]}",Belltown,South,Paid Parking,12,120.0,NE,1018,47.61073498,-122.34188878
9,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,"{'type': 'Point', 'coordinates': [-122.34466292, 47.61217553]}",Belltown,South,Paid Parking,10,120.0,SW,1021,47.61217553,-122.34466292
10,1ST AVE BETWEEN LENORA ST AND BLANCHARD ST,"{'type': 'Point', 'coordinates': [-122.34451388, 47.61229498]}",Belltown,South,Paid Parking,11,120.0,NE,1022,47.61229498,-122.34451388
11,1ST AVE BETWEEN BATTERY ST AND WALL ST,"{'type': 'Point', 'coordinates': [-122.34838555, 47.61437332]}",Belltown,North,Paid Parking,3,240.0,SW,1025,47.61437332,-122.34838555
12,1ST AVE BETWEEN BATTERY ST AND WALL ST,"{'type': 'Point', 'coordinates': [-122.34823341, 47.61449094]}",Belltown,North,Paid Parking,8,240.0,NE,1026,47.61449094,-122.34823341
13,1ST AVE BETWEEN CLAY ST AND BROAD ST,"{'type': 'Point', 'coordinates': [-122.35213217, 47.61658464]}",Belltown,North,Paid Parking,8,240.0,SW,1029,47.61658464,-122.35213217
14,1ST AVE BETWEEN CLAY ST AND BROAD ST,"{'type': 'Point', 'coordinates': [-122.35196383, 47.61671091]}",Belltown,North,Paid Parking,8,240.0,NE,1030,47.61671091,-122.35196383
15,1ST AVE BETWEEN BROAD ST AND EAGLE ST,"{'type': 'Point', 'coordinates': [-122.35327798, 47.61726786]}",Belltown,North,Paid Parking,10,240.0,SW,1033,47.61726786,-122.35327798
16,1ST AVE BETWEEN BROAD ST AND EAGLE ST,"{'type': 'Point', 'coordinates': [-122.3531291, 47.61738742]}",Belltown,North,Paid Parking,7,240.0,NE,1034,47.61738742,-122.3531291
17,1ST AVE N BETWEEN THOMAS ST AND HARRISON ST,"{'type': 'Point', 'coordinates': [-122.35551415, 47.62151977]}",Uptown,Edge,Paid Parking,14,240.0,W,1037,47.62151977,-122.35551415
18,1ST AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,"{'type': 'Point', 'coordinates': [-122.35550455, 47.62268904]}",Uptown,Edge,Paid Parking,3,240.0,W,1041,47.62268904,-122.35550455
19,1ST AVE N BETWEEN REPUBLICAN ST AND MERCER ST,"{'type': 'Point', 'coordinates': [-122.35549857, 47.62391565]}",Uptown,Core,Paid Parking,11,120.0,W,1045,47.62391565,-122.35549857
20,1ST AVE N BETWEEN REPUBLICAN ST AND MERCER ST,"{'type': 'Point', 'coordinates': [-122.35531611, 47.62391223]}",Uptown,Core,Paid Parking,12,120.0,E,1046,47.62391223,-122.35531611
21,1ST AVE S BETWEEN YESLER WAY AND S WASHINGTON ST,"{'type': 'Point', 'coordinates': [-122.33428548, 47.60129336]}",Pioneer Square,Core,Paid Parking,11,120.0,W,1213,47.60129336,-122.33428548
22,1ST AVE S BETWEEN YESLER WAY AND S WASHINGTON ST,"{'type': 'Point', 'coordinates': [-122.3340747, 47.60129576]}",Pioneer Square,Core,Paid Parking,11,120.0,E,1214,47.60129576,-122.3340747
23,1ST AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,"{'type': 'Point', 'coordinates': [-122.33428859, 47.60047073]}",Pioneer Square,Core,Paid Parking,9,120.0,W,1217,47.60047073,-122.33428859
24,1ST AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,"{'type': 'Point', 'coordinates': [-122.33407785, 47.60046351]}",Pioneer Square,Core,Paid Parking,9,120.0,E,1218,47.60046351,-122.33407785
25,1ST AVE S BETWEEN RAILROAD N WAY S AND RAILROAD S WAY S,"{'type': 'Point', 'coordinates': [-122.33405747, 47.59609416]}",Pioneer Square,Edge,Paid Parking,6,120.0,E,1222,47.59609416,-122.33405747
26,10TH AVE BETWEEN E MADISON ST AND E SENECA ST,"{'type': 'Point', 'coordinates': [-122.31945954, 47.61196395]}",Pike-Pine,,Paid Parking,5,120.0,W,1229,47.61196395,-122.31945954
27,10TH AVE BETWEEN E PIKE ST AND E PINE ST,"{'type': 'Point', 'coordinates': [-122.31955777, 47.61468219]}",Pike-Pine,,Paid Parking,9,120.0,W,1233,47.61468219,-122.31955777
28,10TH AVE BETWEEN E PIKE ST AND E PINE ST,"{'type': 'Point', 'coordinates': [-122.31934691, 47.614681]}",Pike-Pine,,Paid Parking,27,120.0,E,1234,47.614681,-122.31934691
29,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,"{'type': 'Point', 'coordinates': [-122.35811282, 47.62153011]}",Uptown,Edge,Paid Parking,9,240.0,W,1277,47.62153011,-122.35811282
30,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,"{'type': 'Point', 'coordinates': [-122.35796715, 47.6214913]}",Uptown,Edge,Paid Parking,11,240.0,E,1278,47.6214913,-122.35796715
31,1ST AVE W BETWEEN W MERCER ST AND W ROY ST,"{'type': 'Point', 'coordinates': [-122.35809341, 47.62515306]}",Uptown,Edge,Paid Parking,5,240.0,W,1281,47.62515306,-122.35809341
32,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,"{'type': 'Point', 'coordinates': [-122.31642786, 47.66400789]}",University District,Edge,Paid Parking,26,240.0,W,1433,47.66400789,-122.31642786
33,12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,"{'type': 'Point', 'coordinates': [-122.31688507, 47.6098122]}",12th Avenue,,Paid Parking,8,120.0,W,1577,47.6098122,-122.31688507
